SourceFile,FileName,GPSLatitude,GPSLongitude,GPSLatitudeRef,GPSLongitudeRef,DateTimeOriginal
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0014.HEIC,IMG_0014.HEIC,"64 deg 4' 54.68"" N","22 deg 41' 18.02"" W",North,West,2026:05:12 11:06:33
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0014.MP4,IMG_0014.MP4,"64 deg 4' 54.84"" N","22 deg 41' 17.88"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0015.HEIC,IMG_0015.HEIC,"64 deg 4' 54.63"" N","22 deg 41' 17.96"" W",North,West,2026:05:12 11:07:13
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0015.MP4,IMG_0015.MP4,"64 deg 4' 54.48"" N","22 deg 41' 17.88"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0016.HEIC,IMG_0016.HEIC,"64 deg 4' 54.54"" N","22 deg 41' 18.26"" W",North,West,2026:05:12 11:07:30
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0016.MP4,IMG_0016.MP4,"64 deg 4' 54.48"" N","22 deg 41' 18.24"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0017.HEIC,IMG_0017.HEIC,"64 deg 4' 54.71"" N","22 deg 41' 19.06"" W",North,West,2026:05:12 11:31:52
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0017.MP4,IMG_0017.MP4,"64 deg 4' 54.84"" N","22 deg 41' 18.96"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0018.HEIC,IMG_0018.HEIC,"64 deg 4' 54.74"" N","22 deg 41' 19.33"" W",North,West,2026:05:12 11:31:54
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0018.MP4,IMG_0018.MP4,"64 deg 4' 54.84"" N","22 deg 41' 19.32"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0019.HEIC,IMG_0019.HEIC,"64 deg 4' 54.71"" N","22 deg 41' 18.98"" W",North,West,2026:05:12 11:35:20
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0019.MP4,IMG_0019.MP4,"64 deg 4' 54.84"" N","22 deg 41' 18.96"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0021.HEIC,IMG_0021.HEIC,"64 deg 4' 54.71"" N","22 deg 41' 19.02"" W",North,West,2026:05:12 11:35:48
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0021.MP4,IMG_0021.MP4,"64 deg 4' 54.84"" N","22 deg 41' 18.96"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0022.HEIC,IMG_0022.HEIC,"64 deg 4' 45.21"" N","22 deg 40' 58.87"" W",North,West,2026:05:12 13:04:58
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0022.MP4,IMG_0022.MP4,"64 deg 4' 45.12"" N","22 deg 40' 58.80"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0026.PNG,IMG_0026.PNG,,,,,2026:05:13 07:06:42
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0027.PNG,IMG_0027.PNG,,,,,2026:05:13 07:07:07
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0038.HEIC,IMG_0038.HEIC,"64 deg 8' 58.93"" N","21 deg 55' 54.17"" W",North,West,2026:05:13 21:39:56
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0038.MP4,IMG_0038.MP4,"64 deg 8' 58.92"" N","21 deg 55' 54.12"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0039.HEIC,IMG_0039.HEIC,"64 deg 8' 58.91"" N","21 deg 55' 54.12"" W",North,West,2026:05:13 21:39:59
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0039.MP4,IMG_0039.MP4,"64 deg 8' 58.92"" N","21 deg 55' 54.12"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0040.HEIC,IMG_0040.HEIC,"64 deg 8' 57.45"" N","21 deg 55' 48.76"" W",North,West,2026:05:13 21:41:16
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0040.MP4,IMG_0040.MP4,"64 deg 8' 57.48"" N","21 deg 55' 48.72"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0041.HEIC,IMG_0041.HEIC,"64 deg 8' 57.51"" N","21 deg 55' 48.71"" W",North,West,2026:05:13 21:41:19
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0041.MP4,IMG_0041.MP4,"64 deg 8' 57.48"" N","21 deg 55' 48.72"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0042.HEIC,IMG_0042.HEIC,"64 deg 8' 57.51"" N","21 deg 55' 48.69"" W",North,West,2026:05:13 21:41:19
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0042.MP4,IMG_0042.MP4,"64 deg 8' 57.48"" N","21 deg 55' 48.72"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0043.HEIC,IMG_0043.HEIC,"64 deg 8' 56.54"" N","21 deg 55' 45.70"" W",North,West,2026:05:13 21:41:56
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0043.MP4,IMG_0043.MP4,"64 deg 8' 56.40"" N","21 deg 55' 45.84"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0048.HEIC,IMG_0048.HEIC,"64 deg 8' 54.81"" N","21 deg 55' 41.02"" W",North,West,2026:05:13 21:43:13
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0048.MP4,IMG_0048.MP4,"64 deg 8' 54.96"" N","21 deg 55' 41.16"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0049.HEIC,IMG_0049.HEIC,"64 deg 8' 54.81"" N","21 deg 55' 41.04"" W",North,West,2026:05:13 21:43:14
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0049.MP4,IMG_0049.MP4,"64 deg 8' 54.96"" N","21 deg 55' 41.16"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0050.HEIC,IMG_0050.HEIC,"64 deg 8' 49.32"" N","21 deg 55' 42.11"" W",North,West,2026:05:13 21:45:48
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0050.MP4,IMG_0050.MP4,"64 deg 8' 49.20"" N","21 deg 55' 42.24"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0051.HEIC,IMG_0051.HEIC,"64 deg 8' 49.32"" N","21 deg 55' 42.11"" W",North,West,2026:05:13 21:45:48
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0051.MP4,IMG_0051.MP4,"64 deg 8' 49.20"" N","21 deg 55' 42.24"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0052.HEIC,IMG_0052.HEIC,"64 deg 8' 48.83"" N","21 deg 55' 43.05"" W",North,West,2026:05:13 21:46:26
